Scaffold ID	Scaffold SMILES	Cluster ID	Score
SCAFFA173	O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(C(=O)C2CC2)CC1	321	1.0
SCAFFA174	O=C1CCO1	20	1.0
SCAFFA175	O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2	320	1.0
SCAFFA176	C(/C=C1\CCCC2CCC[C@@H]12)=C1CCCCC1	173	1.0
SCAFFA177	c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1	44	1.46753247
SCAFFA178	c1ccc2[nH]ccc2c1	29	1.23376623
SCAFFA179	c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1	319	1.0
SCAFFA180	O=C(/C=C/c1ccccc1)O[C@H]1CC[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C1	172	1.0
SCAFFA181	O=C1CC=CCCCC[C@@H]2CCCC(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](/C=C/C2CCCCC2)CCC1	171	1.0
SCAFFA182	C(CCN1CCNCC1)=C1c2ccccc2Sc2ccccc21	44	1.0
SCAFFA183	c1nsnc1N1CCOCC1	157	1.0
SCAFFA184	O=C(Nc1ccc(C(=O)N2CCCCc3ccccc32)cc1)c1ccccc1	4	1.0
SCAFFA185	O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3	318	1.0
SCAFFA186	C1=CCCCC1	317	1.11688312
SCAFFA187	c1ccc(/N=c2\nc[nH]c3cc(OCC4CCNCC4)ccc23)cc1	128	1.0
SCAFFA188	O=C1CCCC1	20	1.0
SCAFFA189	O=S1(=O)NC(Cc2ccccc2)Nc2ccccc21	18	1.0
SCAFFA190	O=S(=O)(Nc1cccc(-c2ncsc2-c2ccncn2)c1)c1ccccc1	6	1.0
SCAFFA191	O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CC[C@H](O[C@H]6CC[C@H](O[C@H]7CCCCO7)CO6)CO5)C[C@H]4CC[C@@H]32)CO1	12	1.23376623
SCAFFA192	C1=C[C@H]2c3ccccc3OC[C@@H]2CC1	166	1.0
SCAFFA193	c1ncc2ncn([C@H]3CCCO3)c2n1	31	1.35064935
SCAFFA194	O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)N2CC=CC2=O)cc1	24	1.0
SCAFFA195	O=C(CCc1c[nH]cn1)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCCc1c[nH]c2ccccc12	3	1.0
SCAFFA196	O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CCCCO1	316	1.35064935
SCAFFA197	O=C1C=C2C=C[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1	11	1.0
SCAFFA198	O=C1NC(=O)C(c2ccccc2)N1	1	1.11688312
SCAFFA199	O=C1C=C2CC[C@@H]3C(=C2CC1)[C@@H](c1ccccc1)CC1CCC[C@H]13	144	1.0
SCAFFA200	c1ccc2c(c1)CCCC2	15	1.0
SCAFFA201	O=c1ccc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1	91	1.0
SCAFFA202	c1ccc2c(c1)CC1CC2CCN1	83	1.0
SCAFFA203	O=C(Nc1ccccn1)C1=Cc2ccccc2S(=O)(=O)N1	82	1.0
SCAFFA204	c1ccc(Cn2nc(-c3ncccn3)c3cccnc32)cc1	170	1.11688312
SCAFFA205	c1ccc(-c2cn3ccccc3n2)cc1	47	1.0
SCAFFA206	O=C(NCCCNc1ncc2ccccc2n1)C1CCCO1	71	1.0
SCAFFA207	C=C1c2ccccc2CCc2ccccc21	15	1.11688312
SCAFFA208	O=C(Cc1ccccc1)O[C@H]1C[C@H]2CC[C@@H](C1)N2	61	1.0
SCAFFA209	O=C(NCc1cscn1)N[C@@H](CCN1CCOCC1)C(=O)N[C@H](CC[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1	163	1.0
SCAFFA210	O=c1cccc2c(c1)CCCc1ccccc1-2	169	1.0
SCAFFA211	C(=Cc1ccccc1)c1ccccc1	26	1.0
SCAFFA212	O=C(NC1OC2[C@@H]3CCCN3C(=O)CN2C1=O)[C@H]1CN[C@@H]2Cc3c[nH]c4cccc(c34)[C@H]2C1.O=C(NC1OC2[C@@H]3CCCN3C(=O)CN2C1=O)[C@H]1CN[C@@H]2Cc3c[nH]c4cccc(c34)[C@H]2C1.O=C(NC1OC2[C@@H]3CCCN3C(=O)CN2C1=O)[C@H]1CN[C@@H]2Cc3c[nH]c4cccc(c34)[C@H]2C1.O=C(NC1OC2[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O)[C@H]1CN[C@@H]2Cc3c[nH]c4cccc(c34)[C@H]2C1	46	1.0
SCAFFA213	O=C(Nc1ccc(N2CCOCC2)nc1)c1cccc(-c2ccccc2)c1	315	1.0
SCAFFA214	O=C(OC1CC[NH2+]C1)C(c1ccccc1)C1CCCC1	43	1.0
SCAFFA215	O=c1c2ccccc2nc(CNc2ncnc3[nH]cnc23)n1-c1ccccc1	154	1.0
SCAFFA216	O=C(NC1CCN(CCCCC2c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccccc1	106	1.0
SCAFFA217	N=c1[nH]ncs1	314	1.0
SCAFFA218	O=C1CC(c2ccccc2)C(=O)N1	1	1.11688312
SCAFFA219	C1=Nc2c(ncn2[C@H]2CCCO2)CCN1	31	1.0
SCAFFA220	O=C1C[C@@H](Cc2cnc[nH]2)CO1	313	1.0
SCAFFA221	c1ccc(CCc2cnc3ncncc3n2)cc1	2	1.0
SCAFFA222	O=C1CN=C(c2ccccc2)c2ccccc2N1CC1CC1	48	1.0
SCAFFA223	C1CC[C@H](OC2CCCO2)OC1	12	1.0
SCAFFA224	O=C1C(CC[SH+]c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1	168	1.0
SCAFFA225	O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2C3OCO[C@@H]3C[C@H]21	81	1.11688312
SCAFFA226	O=C(Nc1ccc2[nH]cc(Cc3ccc(C(=O)NS(=O)(=O)c4ccccc4)cc3)c2c1)OC1CCCC1	125	1.0
SCAFFA227	O=S(=O)(Nc1ccccc1)c1ccccc1	6	1.0
SCAFFA228	O=C(CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)NC(=O)CNC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)CCc1ccc2ccccc2c1)NCC(=O)N1CCCC1	3	1.0
SCAFFA229	O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CC[C@H](O[C@H]6CC[C@H](O[C@H]7CC[C@H](O[C@H]8CCCCO8)CO7)CO6)CO5)C[C@H]4CC[C@@H]32)CO1	12	1.0
