Scaffold ID	Scaffold SMILES	Cluster ID	Score
SCAFFB169	C1CCC(CCCC2CCC(C3CCCCC3)CC2)CC1	1	1.0
SCAFFB170	C1CC2CC3CCC4C5CCCC5CCC4C3CC2C1	19	1.0
SCAFFB171	C1CCC(CCCC2CCCCC2)CC1	2	1.25
SCAFFB172	C1CCC2CC(CC1)C1CCCCC1C2	5	1.0
SCAFFB173	C1CCC(CCCCC2CCCCC2CCC2CC3CCCCC3C2)CC1	3	1.0
SCAFFB174	C1CCC(CCCCC2CCCC2)CC1	2	1.0
SCAFFB175	C1CCC(C2CCCC3C(C4CCCCC4)CCCC23)CC1	5	1.0
SCAFFB176	C(CCCCCCCCCCCC(CCCCCCCCCCC1CCCC1CCCCCCCCCCC1CCCCC1)CC1CCCCC1)CCCCCCCCCCCC1CCCC1CCCCC1CCCC1CCCC1CCCCC1	9	1.0
SCAFFB177	C1CCCCCCCCCC(CC2CCC3CCCCC32)CC2CCCC2CCCCCCCCC1	8	1.0
SCAFFB178	C1CCC(C2CCCC2CCCCCC2CCC3CCCCC3C2)CC1	1	1.0
SCAFFB179	C1CCC(CCCCC2CCCC3CCCCC23)CC1	2	1.0
SCAFFB180	C1CCC2CC(CC3CCC4CCCCC4C3)CCC2C1	1	1.0
SCAFFB181	C1CCC(CC2CCCCC2CC2CC(C3CCCCC3)C2)CC1	4	1.0
SCAFFB182	C1CCC2C(C1)CC1CC2C2C3CCC4(CCCC5CCCCC54)CCCC(C2C1)C1C2CCCC2CCC31	69	1.0
SCAFFB183	C1CCC(CCCC2CC3CCCCC32)C1	2	1.5
SCAFFB184	C1CCC(CCCC2CC3CCCC23)CC1	2	1.16666667
SCAFFB185	C1CCC(CCCC2CCC2)C1	2	1.0
SCAFFB186	C1CCC(CCCC2CC3CC(CC4CCCC4)CCC23)C1	7	1.08333333
SCAFFB187	C(CCCC1CCC(C2CCCCC2)CC1)CCC1CCCCC1	1	1.0
SCAFFB188	C1CCC(CC2CCC3C(CCCC4CCCC4)CC3C2)CC1	2	1.0
SCAFFB189	C1CC2CCC(C1)C2	57	1.0
SCAFFB190	C(CCCC1CCCC1)CCCC(CCC(CCCCC1CCCC1)CC1CCCCC1)CC1CCCCC1	9	1.0
SCAFFB191	C1CCC(C2CCC(C3CCC(C4CCC(C5CCC(C6CCCC6)C5)CC4)CC3)C2)C1	10	1.0
SCAFFB192	C1CCC(C2C(C3CCC(CCC4CCCC4)CC3)CCC2C2CCC(CCC3CCCC3)CC2)CC1	1	1.0
SCAFFB193	C(CCC1CCC(C2CCCC3CCCC32)CC1)CCC1CCC2CCCCC2C1	1	1.0
SCAFFB194	C1CCC(CCCCC2CCC3CCCCC23)CC1	3	1.0
SCAFFB195	C1CCC(CCC2CCCCCCCC3CC3(CCCC3CC3)CCC3CC(CC4CC5CCCCC5C5CCCCC45)CC3C2)CC1	61	1.0
SCAFFB196	C1CCC(C2CCCC(C3CCC4CCCCC4C3)C2)CC1	10	1.0
SCAFFB197	C1CCC(CCCC2CC3CC(CCC4CCCC4)CCC23)C1	1	1.16666667
SCAFFB198	C1CCC(CCCC2(C3CCCCC3)CCC3(CCCC3)CC2)CC1	51	1.0
SCAFFB199	C(CCCC1CCCCC1)CCCC1CCCCC1	2	1.25
SCAFFB200	C1C2CC3CC1CC(C2)C3	57	1.16666667
SCAFFB201	C1CCC(C2CCCCC2C2CCCCC2)CC1	5	1.0
SCAFFB202	C1CC2CCCC2C1	4	1.08333333
SCAFFB203	C1CCC(C2CCC(CCC3C4CCCCC4CC4CCCC43)CC2)CC1	14	1.0
SCAFFB204	C1CCC(CC(CC2CCCC2)C2CCCCC2)CC1	21	1.0
SCAFFB205	C1CCCCCC(CC2CCCCC2)CC(CC2CCCCC2)CCCCC1	4	1.08333333
SCAFFB206	C1CCC(C2CCC3CCCC4CCCC2C43)CC1	5	1.08333333
SCAFFB207	C1CCC(C2(CC3CCCC3)CCC(CCC3CCC(C4CCC(C5CCC(C6CCCC6)CC5)CC4)CC3)C2)CC1	34	1.08333333
SCAFFB208	C1CCC(C2CCC3CCCC(C4CC4)C3C2)CC1	5	1.25
SCAFFB209	C(CCCCCCC(CCC1CCCCC1)C(CC1CCCCC1CC1CCCCC1)C1CCCC1)CCCCCC1CCC(C2CCCC2)C1	42	1.0
SCAFFB210	C1CCC(CC2CCCC2CC2CCCCC2)CC1	4	1.0
SCAFFB211	C1CC2CCC2C1	26	1.16666667
SCAFFB212	C1CCC(C2CCC(CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCC5CCCCC54)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCC5CCCCC54)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCC5CCCCC54)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCC5CCCCC54)CC3CCCCC3CC(C4CCC5CCCCC54)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CC(C4CCCCC4)CC3CCCCC3CCC(C4CCC5CCCCC54)C3)C2)CC1	18	1.0
SCAFFB213	C1CCC(C2CC(C3CC3)CC3CCCCC32)CC1	5	1.0
SCAFFB214	C1CC2CCC3CC(CCC4CCC5CC6CCC7CCCC(C5C4)C76)CC3C2C1	36	1.0
SCAFFB215	C1CCC(CC2CCCC(CC3CCCCC3)C2)CC1	4	1.58333333
SCAFFB216	C1CCC(CCC2(CCC3CCC(CC4CCCC5CCCCC54)CC3)CC2)CC1	3	1.0
SCAFFB217	C1CCC(CCCC2CC3CCCCC32)CC1	2	1.41666667
SCAFFB218	C1CCCCCCC(CC2CCCC2)CCC(CC2CCCCC2)CCCCCCCCC(CCCCCCCCCCCC2CCCC2)CCCCC1	2	1.0
SCAFFB219	C1CCC(CCCCC2CC2)CC1	2	1.0
SCAFFB220	C1CCC(C2CCC(CCCCC3CCC4(CCCC4)CC3)CC2)CC1	14	1.0
SCAFFB221	C1CCCCCCCCCCCCCCCCCCCCCCC(CC2CCCCC2)CC2CCCC(CCCCCCCC1)C2	31	1.08333333
SCAFFB222	C1CCC(C2CCC(C3CCC4CCCCC4C3)CC2)CC1	10	1.0
SCAFFB223	C1CCCCCCCCCCC2CC3CCC4CC(CCCCCC1)CC4C3CC2CCC1CCCCC1	38	1.0
SCAFFB224	C1CCC(C(CCCC2CCCC2)C2CCCCC2)CC1	2	1.0
SCAFFB225	C1CCC(C2CCCCC2CCC2CCC(CC3CCC4CCCC4C4CCCCC34)CC2)CC1	6	1.0
SCAFFB226	C(CCCC1CCCC1)CCCC(CCC(CCCCCC(CCC(CCC1CCCC1)CC1CCCC1)CC1CCC2CCCCC21)CC1CCCCC1)CC1CCC(CC2CCCCC2)C1	9	1.0
SCAFFB227	C1CCC2C(C1)CCC2CCC1CC2CC3CCC2C(C1)C3	3	1.0
SCAFFB228	C1CCC(CCC2CCC3CCCCC3C2)C1	1	1.0
SCAFFB229	C1CCC2C(C1)CC1CCCC23CCCCC13	60	1.0
SCAFFB230	C1CCC(CC2CCC(CC3CCCC(CC4CCC5CC6CC(CC7CCCC(CC8CCCCC8)C7)CCC6CC5C4)C3)CC2)CC1	7	1.0
SCAFFB231	C1CCC(CCCCCC2CCCCC2)CC1	2	1.16666667
SCAFFB232	C1CCC2C(C1)CCCC2CC1CC2CCC1CC2	6	1.08333333
SCAFFB233	C1CCC2C3CC4CCC(CC5CCC(C5)CC5CCC(C5)CC(C3)C2C1)C4	74	1.0
SCAFFB234	C1CCCCCC2CCCC2CCC(CCC2CCCCC2)CCCCC2CCCC2CCCC1	1	1.0
SCAFFB235	C1CCC(C2CCC(C3CCC4CC5C(CC4C3)CC3CCCCC35)CC2)CC1	30	1.0
SCAFFB236	C1CCC(CC2CC3CCC3C2)C1	4	1.16666667
SCAFFB237	C(CCC1CCC2CC12)CC1CCC1	3	1.0
SCAFFB238	C1CCC(C2CCC3CCC(C4CCCC4)C3C2)C1	19	1.0
